"eng","tr","telaffuz","Derece","Tek"
"Nausea","Bulantı, bulanma","Naja","zor","0"
"Influx","Akın, kitlesel akın","İnfılaks","genel","0"
"Relinquish","Feragat etmek, el çekmek, vazgeçmek, terk etmek","Rılinkuiş","zor","0"
"Elaborate","Ayrıntılı, özenle hazırlanmış, ayrıntıyla donatmak","Ilabırıt","zor","0"
"Emissary","Casus, ajan, temsilci","Emiseri","zor","0"
"Reckon","Tahmin etmek, hesaplamak, varsaymak, sanmak","Rekın","zor","0"
"Culminate","Sonuçlanmak, neticelenmek, bitmek, zirveye ulaşmak","Kalmıneyt","zor","0"
"Tremor","Ürperme, çalkantı, sarsıntı","Tıremır","genel","0"
"Subsist","Yaşamını idame ettirmek, varlığını sürdürmek, geçinip gitmek","Sıbsist","zor","0"
"Intrigue","Entrika, hile, kumpas","İntırig","zor","0"
"Horrendous","Dehşetli, korkunç","Hırendıs","zor","0"
"Per capita","Kişi başına","Pör kepita","genel","0"
"Even so","Yinede","","deyim","0"
"Hollow","Oyuk, çukur, içi boş","Halov","genel","0"
"Inherent","Yaratılıştan gelen, doğuştan gelen","İnherınt","genel","0"
"Counterfeit","Sahte","Keuntırfit","genel","0"
"Owing to","-den dolayı, yüzünden","","deyim","0"
"Valor","Kahramanlık","Velır","zor","0"
"Striker","Forvet","","genel","0"
"Detach","Koparmak, ayırmak, sökmek","","genel","0"
"Detachment","Tarafsızlık, yansızlık","","genel","0"
"Snowflake","İri kar tanesi, lapa kar","","zor","0"
"Flake","Pul, lapa kar","","zor","0"
"Gem","Kıymetli taş, mücevher","Cem","zor","0"
"Gemstone","Değerli taş","Cemsıton","genel","0"
"Whopper","Kocaman","Vapır","genel","0"
"Ruby","Yakut","","zor","0"
"Interval","Aralık, ara, mesafe, süre, zaman","İntirvıl","zor","0"
"Forward","Göndermek, yollamak (mail vs.), forvet","","zor","0"
"Disconsolate","Avutulmaz, çok kederli","Diskansılıt","zor","0"
"Distinquished","Seçkin","","genel","0"
"Natal","Doğumla ilgili","Neytıl","zor","0"
"Prenatal","Doğum öncesi","Pırineytıl","zor","0"
"Quite a few","Oldukça fazla","","deyim","0"
"Abstain","Çekinmek, kaçınmak, imtina etmek","Absıteyn","genel","0"
"Abortion","Kürtaj","Aborjın","zor","0"
"Sparrow","Serçe","","genel","0"
"Administer","Uygulamak, tatbik etmek","","zor","0"
"Encroach","Tecavüz etmek, haddini aşmak, kötüye kullanmak, zarar vermek","İnkırouç","zor","0"
"Pedestrian","Yaya","Pıdestıriın","zor","0"
"As though","Sanki, sözde, -mış gibi","","deyim","0"
"Immolation","Kurban etme","İmıleyşın","zor","0"
"Burst onto the scene","Yırtık dondan çıkar gibi çıkmak","Börst ontu dı sin","deyim","0"
"Synonymous","Eş anlamlı","Sınanımıs","zor","0"
"Green-eyed","Kıskanç","","genel","0"
"Retard","Geciktirmek","Ritard","zor","0"
"Retarded","Gerizekalı","Ritardıd","zor","0"
"Zealous","Gayretli","Zelıs","zor","0"
"Akin","Akraba, yakın, benzeyen","Ekin","genel","0"
"Counter intuitive","Sezgilere aykırı, mantığa aykırı","","genel","0"
"Woo","Israrla istemek, sıkboğaz etmek, başının etini yemek","Vu","zor","0"
"Bereave","Yoksun bırakmak, elinden almak","Bıriv","zor","0"
"Bereavement","Yoksunluk, mahrumiyet","Bırivmınt","zor","0"
"Margin","Kenar boşluğu","Marcın","zor","0"
"Pilgrim","Hacı","Pilgırım","genel","0"
"Let alone","Bırakın (bunu), (bunlar) bir yana","","deyim","0"
"Upheaval","Altüst oluş, devrim","Aphivıl","genel","0"
"Close in","Kuşatmak, etrafını sarmak","","deyim","0"
"Thorough","Tam, eksiksiz, mükemmel","Thoro","genel","0"
"Vivacious","Neşe dolu, canlı","Viveyşıs","genel","0"
"In a while","Bir anda","","deyim","0"
"Hark back to","Geçmişi yad etmek","Hark bek tu","deyim","0"
"Mar","Kusur, bozukluk, mahvetmek, ihlal etmek, bozmak, lekelemek","Mar","zor","0"
"Skit","Skeç","Sıkit","zor","0"
"Reap","Oraklamak, ekin biçmek, ürün toplamak, hasat etmek","Rip","zor","0"
"Spartan","Spartalı, sparta, cesur, yılmaz","Sıpartın","genel","0"
"Disdain","Küçümseme","Disdeyn","zor","0"
"Poignant","Dokunaklı","Poiniyınt","genel","0"
"Cape","Pelerin, uç, burun","Keyp","zor","0"
"Cape of good hope","Ümit burnu","","zor","0"
"Albeit","Rağmen, karşın, gerçi","Olbiit","deyim","0"
"Valiant","Cesur","Veliyınt","genel","0"
"Gallant","Cesur","Gelınt","genel","0"
"Basin","Leğen, havza","Beysın","zor","0"
"Varnish","Cila, vernik, cilalamak, verniklemek","Varnış","zor","0"
"Short of","Haricinde, dışında","","deyim","0"
"Clippers","Makas","","genel","0"
"Scissors","Makas","","genel","0"
"Slippers","Terlik","","genel","0"
"Look up to","Hürmet etmek, saygı duymak","","deyim","0"
"Call off","İptal etmek","","deyim","0"
"Expound","Açıklamak, izah etmek","İkspaund","genel","0"
"Exclaim","Haykırmak, çığlık atmak","İkskıleym","zor","0"
"Stats","İstatistik","","genel","0"
"Cashew nut","Kaju","Keşivnat","genel","0"
"Apparatus","Aygıt, aygıtlar","Epıratıs","zor","0"
"Wreath","Çelenk","Riith","zor","0"
"Conducive","Olanak sağlayan","","zor","0"
"Live cable","Üzerinde akım olan kablo","","genel","0"
"Striking","Çarpıcı","","genel","0"
"Cluster","Küme, salkım, kümelemek, bir araya toplamak","","zor","0"
"A trace of","Az miktarda","","deyim","0"
"Dynasty","Hanedanlık","Daynısti","genel","0"
"Decent","Edepli, iyi, düzgün, doğru düzgün","Disınt","genel","0"
"Neat","Düzenli, tertipli","Niit","zor","0"
"Lay out","Tasarlamak, planlamak, düzen, plan, tertip","","zor","0"
"Ensue","Birbirini takip etmek, sonradan gelmek, ardından gelmek","İnsüu","zor","0"
"Ensuing","Peşpeşe, birbirini takip eden","İnsuing","zor","0"
"Brawl","Arbede, ağız dalaşı, ağız dalaşı yapmak, tartışmak","Bıroul","zor","0"
"Clown","Palyaço, soytarı","Kılaun","genel","0"
"Crib","Beşik","Kırib","zor","0"
"Brunet","Esmer","Burunet","genel","0"
"Brunette","Esmer","Burunet","genel","0"
"Blond","Sarışın","Bıland","zor","0"
"Blonde","Sarışın","Bıland","zor","0"
"Undulate","Dalgalanmak, dalgalandırmak, inip çıkmak","Anculeyt","zor","0"
"Waiver","Feragat, terk","Veyvır","zor","0"
"Waver","Bocalamak, tereddüt etmek, sendelemek","Veyvır","zor","0"
"Falter","Bocalamak","Foltır","zor","0"
"Stumble","Bocalamak","Sıtambıl","genel","0"
"Deploy","Konuşlandırmak, yerleştirmek, mevzilendirmek, dağıtım","Dipıloy","zor","0"
"Vet","Veteriner, eski kurt, emektar, muayene etmek (hayvanları), incelemek, araştırmak","","zor","0"
"Deserter","Asker kaçağı","Dizörtır","zor","0"
"Sheer","Düpedüz, tam, eksiksiz, katıksız, yolundan sapmak, rotadan çıkmak","Şiır","genel","0"
"Sheerly","Bütünüyle, tamamıyla, büsbütün bir şekilde","Şiırli","genel","0"
"Fed up with","Bıkmış, usanmış","","deyim","0"
"Roster","Liste, nöbet cetveli, isim listesi, görev listesi, sıralamak, listelemek","Rastır","zor","0"
"Rear","Yetiştirmek, terbiye etmek","","zor","0"
"Rearing","Yetiştirme, terbiye etme","","zor","0"
"Draw up","Kaleme almak, hazırlamak (kontrat vs.)","","deyim","0"
"Vessel","Damar, gemi, tekne, tas, kap","","zor","0"
"Discreet","Dilini tutan, ketum, sağ duyulu, tedbirli","","zor","0"
"Receptacle","Duy","Riseptikıl","zor","0"
"Harass","Taciz etmek, rahatsız etmek","Hıres","genel","0"
"Brooch","Broş","Bırouç","zor","0"
"Habitant","İkamet eden, sakin","Hebitınt","genel","0"
"Excel","Sivrilmek, başarı göstermek","İksel","zor","0"
"Recollect","Hatırlamak, anımsamak","Rekıllekt","zor","0"
"Embed","Gömmek, içine yerleştirmek","İmbed","zor","0"
"Imbecile","Embesil","İmbısil","zor","0"
"Circus","Sirk","Sörkıs","genel","0"
"Clutch","Debriyaj, kavramak","Kılaç","genel","0"
"Habitat","Ortam, habitat","Hebitat","zor","0"
"Perpendicular","Dik, dikey","Pörpindikılır","zor","0"
"Vertical","Dikey, dik","Vörtikıl","genel","0"
"Quiet","Sessiz, sakin, sessizlik","Kuayıt","zor","0"
"Quite","Epey, oldukça fazla, pek, çok","Kuayt","genel","0"
"Constellation","Takımyıldız","Kanstıleyşın","zor","0"
"Horoscope","Burç","Horosıkop","zor","0"
"Sign of the zodiac","Burç","Sayn of dı zodiak","zor","0"
"Sign","Burç","","zor","0"
"Ravish","Tecavüz etmek","Reviş","zor","0"
"Bewitch","Büyülemek, büyü yapmak","","genel","0"
"Cast a spell over","Büyü yapmak","Kest e sıpel ovır","zor","0"
"Cast","Dökmek, atmak, döküm, kalıba dökmek, dökmek (tırnak, saç, deri vs.), oyuncular, rol dağıtmak","Kest","zor","0"
"Wand","Sihirbaz değneği","Vand","zor","0"
"Vulture","Akbaba","Volçır","genel","0"
"Intricate","Girift, çapraşık","İntırıkıt","zor","0"
"Given that","Varsayalım ki, -den dolayı, yüzünden","","deyim","0"
"Layman","Meslekten olmayan kimse","Leymın","zor","0"
"Edible","Yenilebilir, gıda","Edibıl","zor","0"
"Prospectus","Prospektüs","Pırıspektıs","zor","0"
"Prospect","Olasılık","Pırospekt","zor","0"
"Specific","Spesifik","Sıpısifik","zor","0"
"With respect to","Konusunda, hususunda, ile ilgili olarak","","deyim","0"
"Devise","Varis, vasiyet, icat etmek, uydurmak, planlamak, tasarlamak, komplo kurmak","Divays","zor","0"
"Under way","Devam etmekte olan","","deyim","0"
"Tackle","Ele almak (problemi), mücadele etmek","Tekıl","zor","0"
"Physicist","Fizikçi","Fizizist","genel","0"
"Shepherd","Çoban","Şepırd","zor","0"
"Embezzle","Zimmetine geçirmek","İmbezıl","genel","0"
"Rudder","Dümen","Radır","zor","0"
"Flush","Sifon, yüzü kızarmak","Fılaş","genel","0"
"Siphon","Sifon","Sayfın","genel","0"
"Quarrel","Ağız dalaşı, kavga, münakaşa, tartışmak, dalaşmak, ağız dalaşı yapmak","Kuorıl","zor","0"
"Squabble","Ağız dalaşı, ağız kavgası etmek","Sıkuabıl","zor","0"
"Brawl","Arbede, tartışma, ağız dalaşı, kavga, ağız dalaşı yapmak, sesli tartışmak","Bıroul]","zor","0"
"Infrastructure","Altyapı","İnfırıstırakçır","zor","0"
"Substructure","Altyapı","Sabsıtrakçır","genel","0"
"Condole","Baş sağlığı dilemek","Kındol","zor","0"
"Pore","Gözenek","Por","genel","0"
"Porous","Gözenekli","Porıs","genel","0"
"Vomit","Kusmak","Vamit","zor","0"
"Appropriate","El koymak, münasip, uygun","Epıropırıit","zor","0"
"Ripple","Hafifçe dalgalanmak, dalgacık","","genel","0"
"Plead","Savunma yapmak, savunmak","Pılid","genel","0"
"Curriculum","Müfredat","Kırikılım","zor","0"
"Clergy","Ruhban sınıfı, rahipler, rahip","Kılırci","zor","0"
"Endow","Para bağışlamak, vakfetmek, nitelik kazandırmak, özellik vermek","İndau","zor","0"
"Satisfactory","Tatmin edici","Setisfektıri","genel","0"
"Lace","Bağcık (ayakkabı), dantel","Leys","genel","0"
"Shoelace","Ayakkabı bağcığı","Şuleys","genel","0"
"Cutlery","Çatal bıçak takımı","Katlıri","zor","0"
"Soluble","Çözülebilir, eriyebilir","Solibıl","zor","0"
"Low","Böğürmek (inek, öküz vs.), möö'lemek","","genel","0"
"Detergent","Deterjan","Ditörcınt","genel","0"
"Discern","Fark etmek, ayırt etmek","Disörn","zor","0"
"Assembly","Montaj, toplantı, birleştirme, meclis","Esembıli","genel","0"
"Assemble","Birleştirmek, bir araya getirmek, parçaları birleştirmek, toplanmak, monte etmek, montaj yapmak","Esembıl","genel","0"
"Disassembly","Ayırma, sökme, demonte etme","Disesembıli","genel","0"
"Disassemble","Sökmek","Disesembıl","genel","0"
"Insomuch that","O kadar ki","","deyim","0"
"Insofar that","O kadar ki","","deyim","0"
"Dizzy","Başı dönen","","genel","0"
"Dizziness","Baş dönmesi","","genel","0"
"Repel","Püskürtmek","Rıpel","zor","0"
"Refute","Yalanlamak","Rifüut","zor","0"
"Hectic","Telaşlı, hareketli, heyecanlı","","zor","0"
"Refrain","Kendini tutmak, frenlemek, NAKARAT","Rıfıreyn","genel","0"
"Dispose of","Elden çıkarmak, kurtulmak","","deyim","0"
"Rest on","-e dayanmak, -e güvenmek","","deyim","0"
"Break in","Hırsızlık amacıyla bir yere girmek, sözü yarıda kesmek, terbiye etmek","","deyim","0"
"Negligent","İhmalkar","Neglicınt","zor","0"
"Apostasy","Din değiştirme, döneklik","Apastısi","zor","0"
"Surge","Dalgalanma (deniz vs.), kabarma","Sörç","genel","0"
"Comfy","Rahat","Kamfi","genel","0"
"Daunt","Gözünü korkutmak","Dant","genel","0"
"Daunting","Göz korkutucu, ürkütücü","Danting","genel","0"
"As from","-den itibaren","","deyim","0"
"As of","-den itibaren","","deyim","0"
"Exalted","Yüce","İgzoltıd","genel","0"
"Appeal","Başvuru, başvurmak, çekicilik, cezbetmek","Apiıl","genel","0"
"Predatory","Yırtıcı","Pıredıtori","zor","0"
"Binoculars","Dürbün","Binakilırs","zor","0"
"Headquarters","Karargah, kumanda merkezi, genel merkez, merkez","Hedkuortırs","zor","0"
"Torch","Meşale, fener","Torç","genel","0"
"Sail","Yelken, yelkenli, denize açılmak","","genel","0"
"Red man","Kızılderili","","genel","0"
"Capture","Esir almak, ele geçirmek","","genel","0"
"Flour","Un","Fılavır","zor","0"
"Dismantle","Sökmek","Dismentıl","genel","0"
"Bar","Çubuk, demir çubuk, parmaklık, baro, bar","","genel","0"
"Discrepancy","Çelişki","Diskırepınsi","genel","0"
"Contradict","Çelişmek","Kantırıdikt","zor","0"
"Contradiction","Çelişki","Kantırıdikşın","genel","0"
"Daunted","Gözü korkmuş, yılgın","Dantıd","zor","0"
"Contract","Yakalanmak (hastalığa), küçülmek, büzüşmek, kısalmak, ufalmak","Kıntırekt","zor","0"
"Reticent","Suskun, sır saklayan","Retisınt","zor","0"
"From dusk to dawn","Gün batımından şafağa kadar","Fırom dask tu daan","deyim","0"
"Encyclopedia","Ansiklopedi","İnsaykılpidia","genel","0"
"Controvert","Yalanlamak, çürütmek","Kantırıvört","zor","0"
"Controvertial","İhtilaflı, tartışmalı","Kantırıvörjıl","genel","0"
"Provisional","Geçici","Pırvijınıl","zor","0"
"Heir","Varis, mirasçı","Eır","zor","0"
"Successor","Varis, halef","Sıksesır","genel","0"
"Unscrupulous","Vicdansız","Ansıkrupılıs","zor","0"
"Bleach","Ağartmak, beyazlatmak, çamaşır suyu","Bıliç","genel","0"
"Beetle","Böcek","Bitıl","zor","0"
"Compromise","Taviz, anlaşmaya varmak","Kampırımayz","zor","0"
"Exile","Sürgün etmek, sürgün","Egzayıl","zor","0"
"Prevail","Galebe çalmak, üstün gelmek","Pırıveyıl","zor","0"
"Null","Hükümsüz","Nal","zor","0"
"Rip off","Kazık atmak, kazıklamak, sökmek","Rip af","zor","0"
"Rip","Sökmek, sökük","","genel","0"
"Juvenile","Genç","Cüvinayıl","zor","0"
"Out of the way","Önündeki engeli kaldırarak, tamamlanmış bir şekilde, halledilmiş bir şekilde","Aut ov dı vey","deyim","0"
"Pliable","Bükülebilir, katlanır, yumuşak, uysal","Pılayıbıl","zor","0"
"Pliability","Esneklik, bükülebilirlik, uysallık","Pılayıbiliti","zor","0"
"Precursor","Öncü, haberci, işaret, müjdeci","Pırikörsır","zor","0"
"Precede","-den önce olmak, -den önce gelmek","Pırsid","zor","0"
"Precision","Kesinlik, tamlık, doğruluk, hassasiyet","Pırsijın","zor","0"
"Stack","Yığın","Sıtek","genel","0"
"Narrative","Anlatı, hikaye tarzında, öykü, hikaye","Neretiv","zor","0"
"Mutilate","Sakatlamak","","genel","0"
"Antique","Antika","entig","zor","0"
"Flinch","İrkilme, ürperme, irkilmek, ürpermek","","genel","0"
"Side hustle","Ek iş, yan uğraş","","genel","0"
"In advance","Önceden, peşin","","deyim","0"
"Plague","Veba, rahatsız etmek, can sıkmak","Pıleyg","zor","0"
"Plaque","Plak, tabaka, levha, diş kiri","Pleg","zor","0"
"Pledge","Söz, taahhüt, rehin, söz vermek","Pıleç","zor","0"
"Hostage","Rehine","Hastıç","zor","0"
"Hypothec","İpotek","Haypothik","zor","0"
"Bowl","Kase","Boul","genel","0"
"Legislation","Mevzuat, yasa, tüzük, kanun, kanunlar","Lecısleyşın","zor","0"
"Border","Kenar, sınır","","genel","0"
"Ferment","Mayalandırmak, maya","Fırment","zor","0"
"Envoy","Elçi","Envoy","zor","0"
"Mercenary","Paralı asker","Mörsineri","zor","0"
"Duel","Düello","Diul","zor","0"
"Manoeuvre","Manevra","Mınüvır","zor","0"
"Maneuver","Manevra","Mınüvır","zor","0"
"Verge","Sınır","Vörç","genel","0"
"Horizon","Ufuk","Hırayzın","zor","0"
"Horizontal","Yatay","Horizantıl","zor","0"
"Terrace","Teras","Terıs","zor","0"
"Teem with","İle dolu olmak, kaynamak, ile dolup taşmak","Tim vith","deyim","0"
"Leech","Sülük","Liiç","zor","0"
"Concrete","Beton, somut","Kankırit","zor","0"
"Permeable","Geçirgen, sızdırır, geçirimli","Pörmiıbıl","zor","0"
"Impermeable","Sızdırmaz, geçirimsiz","İmpörmiıbıl","zor","0"
"Saloon","Salon","Sılun","zor","0"
"Hall","Salon","Hol","genel","0"
"A body of","Bir miktar","","deyim","0"
"Perk","Yan gelir, ikramiye, avanta, ek ödeme, maaş dışındaki gelir","Pörk","zor","0"
"Linen","Keten","Linin","zor","0"
"Flax","Keten","Fıleks","zor","0"
"Tile","Fayans, karo, çini, kiremit","Tayıl","genel","0"
"Level off","Düzeltmek, yoluna koymak, dengelemek","Levıl af","deyim","0"
"Tire","Tekerlek, lastik, yormak, yorulmak","Tayır","genel","0"
"Susceptible","Duyarlı","","genel","0"
"Retrograde","Kötüleşen, ters yön, geriye doğru giden","Retırıgıreyd","genel","0"
"Slump","Ani düşüş","Sılamp","genel","0"
"Slip","Kaymak, sürçmek","Sılip","genel","0"
"Zip code","Posta kodu","","genel","0"
"Mercury","Civa, merkür","Mörkıri","zor","0"
"Bloomer","Gaf","Bılumır","zor","0"
"Faux pas","Gaf","Fo pa","genel","0"
"Blunder","Gaf","","zor","0"
"Amalgamation","Karışım, alaşım","Imalgımeyşın","genel","0"
"Hang over one's head","Başına bela olmak","","deyim","0"
"Treadmill","Koşu bandı","","genel","0"
"Annex","İlhak etmek","Eneks","zor","0"
"Skeleton","İskelet","Sıkelıtın","zor","0"
"Volatile","Uçucu, değişken, istikrarsız","Volıtayıl","zor","0"
"Dome","Kubbe","Dom","genel","0"
"Domed","Kubbeli","Domd","genel","0"
"Pull through","İyileşmek, atlatmak","","deyim","0"
"Call for","Gerektirmek","","deyim","0"
"Postpone","Ertelemek","Postpon","zor","0"
"Proficient","Usta, yeterli, becerikli, uzman","Pırıfişınt","zor","0"
"Appearance","Dış görünüş","Apirıns","genel","0"
"Freight","Nakliye","Fıreyt","zor","0"
"Disappearance","Gözden kaybolma, ortadan kaybolma","Disapirıns","genel","0"
"Ice sheet","Buz tabakası","","genel","0"
"Retreat","Geri çekilmek, geri adım atmak, inziva","","genel","0"
"Dump","Çöplük","Damp","genel","0"
"Dumb","Aptal","Dam","genel","0"
"Shelf","Raf","Şelf","genel","0"
"Follow suit","Aynı şeyi yapmak, taklit etmek","","deyim","0"
"Pan","Tencere","Pen","genel","0"
"Saucepan","Tencere","Saspen","genel","0"
"Bear resemblance to","Benzemek","","deyim","0"
"Resemblance","Benzerlik","","genel","0"
"Consistent","İstikrarlı, tutarlı","Kınsistınt","genel","0"
"Persist","Israr etmek","Pırsist","zor","0"
"Hold up","Gecikmek","","deyim","0"
"Take over","Devralmak","","deyim","0"
"Overtake","Sollamak","","genel","0"
"Turn over","Devretmek, alabora olmak","","deyim","0"
"Bring down","Azaltmak","","deyim","0"
"Make out","İdare etmek, anlamak, kestirmek (anlamını, nedenini)","","deyim","0"
"Take up","İşgal etmek (zamanı, yeri)","","deyim","0"
"Keep up with","Ayak uydurmak, aynı tempoda gitmek","","deyim","0"
"Account for","Oluşturmak (%30 vs. gibi), nedenini oluşturmak","Ekaunt for","deyim","0"
"Turn down","Reddetmek, kısmak, ters çevirmek","","deyim","0"
"Put down","Bastırmak (İsyan vs.)","","deyim","0"
"Turn up","Çıkagelmek, sesini açmak, yükseltmek","","deyim","0"
"Make for","Yolunu tutmak, -e doğru gitmek, -e doğru yol almak","","deyim","0"
"Give in","Pes etmek","","deyim","0"
"Bring into","Getirmek, ithal etmek","","deyim","0"
"Look into","İncelemek","","deyim","0"
"Run over","Ezmek","","deyim","0"
"Run through","İçinden geçmek (kalabalık vs.)","","deyim","0"
"Keep up","Sürdürmek, idame etmek, yukarda tutmak, seviyesine ulaşmak, yetişmek","","deyim","0"
"Stop by","Uğramak","Sıtap bay","deyim","0"
"Look up","Sözlükte aramak, aramak, uğramak, ziyaret etmek, saygı duymak","","deyim","0"
"Call off","İptal etmek","","deyim","0"
"Stipulate","Şart koşmak, koşul koymak","Sitipileyt","zor","0"
"Implore","Yalvarmak","İmpılor","genel","0"
"Seam","Dikiş","Siim","genel","0"
"Seamy","Dikişli","Simi","genel","0"
"Verdict","Hüküm, karar, yargı","Vördikt","zor","0"
"Exterminate","Kökünü kazımak, imha etmek","İkstörmineyt","zor","0"
"Terminate","Sonlandırmak, son vermek","Törmineyt","genel","0"
"Annihilate","İmha etmek, ortadan kaldırmak","Enayıleyt","zor","0"
"Defect","Arıza, kusur, iltica etmek, sığınmak, kaçmak, ayrılmak","","zor","0"
"Wrinkle","Kırıştırmak, buruşturmak, kırışıklık, buruşukluk, kırışık","Rinkıl","genel","0"
"Wrinkled","Kırışık, buruşuk","Rinkıld","genel","0"
"Crease","Buruşturmak, kırışık","Kıris","zor","0"
"Creased","Buruşuk, kırışık","Kırisd","zor","0"
"Dandruff","Kepek (saçta vs.)","Dendırıf","genel","0"
"Bran","Kepek (buğdayda vs.)","Bıren","zor","0"
"Bristle","Kıl","Bırisıl","zor","0"
"Hair","Kıl","","genel","0"
"Revoke","Geri alma, iptal, fes etme","Rivok","zor","0"
"Ornate","Süslü","Orneyt","zor","0"
"Ornament","Süslemek, süs","Ornımınt","zor","0"
"Ornamental","Süslü, süs","Ornımentıl","zor","0"
"Wheat","Buğday","Vit","genel","0"
"Barley","Arpa","","zor","0"
"Parsley","Maydanoz","","zor","0"
"Resulting","Sonuçta oluşan","","zor","0"
"In question","Söz konusu, mevzu bahis","","genel","0"
"Transcribe","Kopya etmek, kopyalamak","","genel","0"
"Hand down","Kuşaktan kuşağa aktarmak","","deyim","0"
"Fair","Fuar, panayır, açık tenli","","zor","0"
"Fare","Veda, yiyecek, yolculuk etmek, yola çıkmak, yol parası, bilet ücreti, yolluk","Feır","zor","0"
"Spacefaring","Uzay yolculuğu","","zor","0"
"Farewell","Veda, uğurlama","Feırvel","genel","0"
"Cousin","Kuzen","Kazın","zor","0"
"Emphasise","Vurgulamak","Emfısayz","zor","0"
"Empathize with","Empati kurmak","Empıthayz","deyim","0"
"Pause","Durdurmak, ara vermek","Pozs","genel","0"
"Plausible","Makul, mantıklı, akla yatkın, inandırıcı","Pılazıbıl","zor","0"
"Historian","Tarihçi","Historiın","genel","0"
"Cushion","Yastık, minder","Kuşın","zor","0"
"Adorn","Süslemek","Edorn","zor","0"
"Dumb","Aptal","Dam","genel","0"
"Dump","Çöplük","Damp","genel","0"
"Comedy","Komedi","Kamıdi","zor","0"
"Compound","Bileşik, bileşim, şiddetlendirmek, yoğunlaştırmak, birleştirmek","Kampaund","zor","0"
"Lineage","Soy","Liniyıç","zor","0"
"Ancestry","Soy, sülale","Ensestıri","zor","0"
"Breed","Soy, doğurmak, yavrulamak","Bırid","genel","0"
"Polish","Lehçe, parlatmak, cilalamak, polonyalı, polonya dili","Poliş","zor","0"
"Germ","Mikrop","","genel","0"
"Microbe","Mikrop","Maykrob","zor","0"
"Blight","Felaket, yıkım, afet","","genel","0"
"Uncharted","Bilinmeyen, keşfedilmemiş, meçhul","","zor","0"
